Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Classification,CIK
LEJU,Leju Holdings Limited,1.57,213149420.34,,2014.0,Finance,Real Estate,https://www.nasdaq.com/symbol/leju,microcap,1596856
LHC,Leo Holdings Corp.,9.71,242750000.0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/lhc,microcap,1725134
LEVL,"Level One Bancorp, Inc.",27.615,213991838.34,,2018.0,Finance,Major Banks,https://www.nasdaq.com/symbol/levl,microcap,1412707
LBY,"Libbey, Inc.",11.23,248659994.25,,1993.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lby,microcap,902274
ASG,"Liberty All-Star Growth Fund, Inc.",6.66,182763320.4,,,,,https://www.nasdaq.com/symbol/asg,microcap,
LCUT,"Lifetime Brands, Inc.",12.2,253040163.4,,1991.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lcut,microcap,874396
LFVN,Lifevantage Corporation,11.15,157085994.5,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/lfvn,microcap,849146
LWAY,"Lifeway Foods, Inc.",3.76,59706510.16,,,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/lway,microcap,814586
LITB,"LightInTheBox Holding Co., Ltd.",1.6841,228383406.3027,,2013.0,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/litb,microcap,1523836
LPTH,"LightPath Technologies, Inc.",2.16,55580135.04,,1996.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/lpth,microcap,889971
LMB,"Limbach Holdings, Inc.",9.79,74313716.62,,,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/lmb,microcap,1606163
LMST,"Limestone Bancorp, Inc.",15.1885,113233958.3055,,,Finance,Major Banks,https://www.nasdaq.com/symbol/lmst,microcap,1358356
LINC,Lincoln Educational Services Corporation,2.13,52487016.96,,2005.0,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/linc,microcap,1286613
LKM,Link Motion Inc.,0.9543,93252240.6393,,2011.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/lkm,microcap,1509986
LIQT,"LiqTech International, Inc.",1.18,85833845.46,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/liqt,microcap,1307579
LQDA,"Liquidia Technologies, Inc.",16.77,258793801.5,,2018.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/lqda,microcap,1330436
LQDT,"Liquidity Services, Inc.",7.25,232893149.25,,2006.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/lqdt,microcap,1235468
LIVX,"LiveXLive Media, Inc.",4.46,231480324.28,,,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/livx,microcap,1491419
SCD,LMP Capital and Income Fund Inc.,14.03,252306119.9,,2004.0,,,https://www.nasdaq.com/symbol/scd,microcap,1270131
CNCR,Loncar Cancer Immunotherapy ETF,24.74,56902000.0,,,,,https://www.nasdaq.com/symbol/cncr,microcap,
