Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Classification
AXR,AMREP Corporation,7.43,60390326.72,,,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/axr,microcap
ASYS,"Amtech Systems, Inc.",5.32,79734803.4,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/asys,microcap
AVXL,Anavex Life Sciences Corp.,2.76,125390401.8,,,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/avxl,microcap
ANCB,Anchor Bancorp,28.95,71912668.5,,2011.0,Finance,Banks,https://www.nasdaq.com/symbol/ancb,microcap
APEN,"Apollo Endosurgery, Inc.",7.55,165185664.8,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/apen,microcap
AFT,Apollo Senior Floating Rate Fund Inc.,16.11,250882012.71,,2011.0,,,https://www.nasdaq.com/symbol/aft,microcap
AIF,Apollo Tactical Income Fund Inc.,15.53,224626323.78,,2013.0,,,https://www.nasdaq.com/symbol/aif,microcap
AGTC,Applied Genetic Technologies Corporation,4.35,78780831.6,,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agtc,microcap
AREX,Approach Resources Inc.,2.25,212595410.25,,2007.0,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/arex,microcap
APVO,Aptevo Therapeutics Inc.,5.34,121054622.7,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/apvo,microcap
APTO,"Aptose Biosciences, Inc.",2.89,99447763.99,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/apto,microcap
AQMS,"Aqua Metals, Inc.",2.35,91132318.5,,2015.0,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/aqms,microcap
AQXP,"Aquinox Pharmaceuticals, Inc.",3.18,74848830.24,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aqxp,microcap
PETX,"Aratana Therapeutics, Inc.",5.32,253610342.44,,2013.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/petx,microcap
ARC,"ARC Document Solutions, Inc.",3.2,146147193.6,,2004.0,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/arc,microcap
FUV,"Arcimoto, Inc.",4.4,70372957.6,,2017.0,Consumer Non-Durables,Motor Vehicles,https://www.nasdaq.com/symbol/fuv,microcap
ARCT,Arcturus Therapeutics Ltd.,8.0,82595480.0,,2013.0,,,https://www.nasdaq.com/symbol/arct,microcap
ARDX,"Ardelyx, Inc.",4.4,273036504.4,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ardx,microcap
ASC,Ardmore Shipping Corporation,6.95,230029925.45,,2013.0,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/asc,microcap
AFC,Ares Capital Corporation,25.72,205760000.0,,,,,https://www.nasdaq.com/symbol/afc,microcap
ARKR,Ark Restaurants Corp.,22.5,78079072.5,,,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/arkr,microcap
AI,Arlington Asset Investment Corp,10.14,291350581.86,,,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/ai,microcap
ARTX,Arotech Corporation,3.475,92039378.2,,1994.0,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/artx,microcap
ASA,ASA Gold and Precious Metals Limited,8.98,173223346.9,,,,,https://www.nasdaq.com/symbol/asa,microcap
AKG,Asanko Gold Inc.,0.8795,198595158.01299998,,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/akg,microcap
AINC,Ashford Inc.,94.77,199906700.76,,2014.0,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/ainc,microcap
APB,"Asia Pacific Fund, Inc. (The)",13.48,139438090.56,,,,,https://www.nasdaq.com/symbol/apb,microcap
ASLN,ASLAN Pharmaceuticals Limited,8.0,48000000.0,6000000.0,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/asln,microcap
ASPN,"Aspen Aerogels, Inc.",4.79,114674108.85,,2014.0,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/aspn,microcap
ASPU,Aspen Group Inc.,7.69,140856607.26,,,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/aspu,microcap
AST,"Asterias Biotherapeutics, Inc.",1.55,86039565.35,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ast,microcap
ALOT,"AstroNova, Inc.",21.15,145055392.65,,1983.0,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/alot,microcap
ASUR,Asure Software Inc,14.32,217989307.44,,,Technology,EDP Services,https://www.nasdaq.com/symbol/asur,microcap
ASV,"ASV Holdings, Inc.",5.8,57035639.8,,2017.0,Capital Goods,Construction/Ag Equipment/Trucks,https://www.nasdaq.com/symbol/asv,microcap
ATAI,ATA Inc.,6.72,70977735.36,10562163.0,2008.0,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atai,microcap
ATHX,"Athersys, Inc.",2.01,278553182.73,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/athx,microcap
AAME,Atlantic American Corporation,2.7,54673604.1,,,Finance,Life Insurance,https://www.nasdaq.com/symbol/aame,microcap
AT,Atlantic Power Corporation,2.25,251250617.25,,,Energy,Electric Utilities: Central,https://www.nasdaq.com/symbol/at,microcap
AFH,"Atlas Financial Holdings, Inc.",10.6,126531882.0,,2013.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afh,microcap
ATOM,Atomera Incorporated,5.22,64772500.5,,2016.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/atom,microcap
AUBN,"Auburn National Bancorporation, Inc.",47.49,173044679.37,,,Finance,Major Banks,https://www.nasdaq.com/symbol/aubn,microcap
AUG,Auryn Resources Inc.,1.1087,100046666.5992,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aug,microcap
AVDL,Avadel Pharmaceuticals plc,4.39,183571054.7,41815730.0,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/avdl,microcap
AVNW,"Aviat Networks, Inc.",15.83,84679561.47,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/avnw,microcap
AVID,"Avid Technology, Inc.",5.83,243637530.62,,1993.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/avid,microcap
ASM,Avino Silver,0.99,55247596.47,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/asm,microcap
AHPA,Avista Healthcare Public Acquisition Corp.,10.1,121210322.2,,2016.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/ahpa,microcap
AWRE,"Aware, Inc.",3.5,75521981.5,,1996.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/awre,microcap
AXON          ,Axovant Sciences Ltd.,2.3,280785812.4,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/axon,microcap
AXSM,"Axsome Therapeutics, Inc.",2.575,67601119.65,,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/axsm,microcap
AXTI,AXT Inc,7.45,294356383.8,,1998.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/axti,microcap
BCOM,B Communications Ltd.,9.81,293211531.45,,,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/bcom,microcap
BW,Babcock,1.4,236145135.8,,2015.0,Capital Goods,Building Products,https://www.nasdaq.com/symbol/bw,microcap
BTN,"Ballantyne Strong, Inc",4.4,63553265.6,,,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/btn,microcap
BCTF,"Bancorp 34, Inc.",16.2,55145853.0,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/bctf,microcap
BKJ,"Bancorp of New Jersey, Inc",16.95,123658148.7,,,Finance,Major Banks,https://www.nasdaq.com/symbol/bkj,microcap
BCV,Bancroft Fund Limited,22.47,118626028.29,,,,,https://www.nasdaq.com/symbol/bcv,microcap
BOCH,Bank of Commerce Holdings (CA),12.75,208053250.5,,,Finance,Major Banks,https://www.nasdaq.com/symbol/boch,microcap
BMLP,Bank Of Montreal,53.04,53040000.0,,,Finance,Commercial Banks,https://www.nasdaq.com/symbol/bmlp,microcap
BKSC,Bank of South Carolina Corp.,20.1,110761813.8,,,Finance,Major Banks,https://www.nasdaq.com/symbol/bksc,microcap
BOTJ,"Bank of the James Financial Group, Inc.",15.97,69923622.92,,,Finance,Major Banks,https://www.nasdaq.com/symbol/botj,microcap
BFIN,BankFinancial Corporation,16.14,281531440.32,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/bfin,microcap
BWFG,"Bankwell Financial Group, Inc.",31.18,244539127.6,,2014.0,Finance,Major Banks,https://www.nasdaq.com/symbol/bwfg,microcap
DTYS,Barclays PLC,21.65,65649706.35,,,Finance,Commercial Banks,https://www.nasdaq.com/symbol/dtys,microcap
MPV,Barings Participation Investors,14.77,154989467.64,,1988.0,Consumer Services,Miscellaneous,https://www.nasdaq.com/symbol/mpv,microcap
BNED,"Barnes & Noble Education, Inc",5.24,245843067.84,,2015.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/bned,microcap
BAS,"Basic Energy Services, Inc.",9.11,241148532.5,,2005.0,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/bas,microcap
BSET,"Bassett Furniture Industries, Incorporated",24.0,257662296.0,,,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/bset,microcap
BCML,BayCom Corp,26.23,285101083.25,,2018.0,Finance,Major Banks,https://www.nasdaq.com/symbol/bcml,microcap
BCBP,"BCB Bancorp, Inc. (NJ)",14.85,234373288.05,,2005.0,Finance,Savings Institutions,https://www.nasdaq.com/symbol/bcbp,microcap
BBGI,"Beasley Broadcast Group, Inc.",6.65,182923086.15,,2000.0,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/bbgi,microcap
BELFA,Bel Fuse Inc.,24.4,293105341.6,,,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/belfa,microcap
BXE,Bellatrix Exploration Ltd,0.9802,60455396.4586,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/bxe,microcap
BGSF,BG Staffing Inc,27.69,279365213.01,,,Technology,Professional Services,https://www.nasdaq.com/symbol/bgsf,microcap
BGFV,Big 5 Sporting Goods Corporation,5.75,123228963.0,,2002.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/bgfv,microcap
BDSI,"BioDelivery Sciences International, Inc.",2.675,159320793.125,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bdsi,microcap
BHTG,"BioHiTech Global, Inc.",3.99,58067962.26,,,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/bhtg,microcap
BLRX,BioLineRx Ltd.,0.887,73998127.564,83425172.0,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/blrx,microcap
BTAI,"BioXcel Therapeutics, Inc.",7.9732,124745059.394,,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/btai,microcap
BKTI,"BK Technologies, Inc.",3.75,50645756.25,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/bkti,microcap
BGIO,BlackRock 2022 Global Income Opportunity Trust,8.95,198053467.05,,2017.0,,,https://www.nasdaq.com/symbol/bgio,microcap
BJZ,Blackrock California Municipal 2018 Term Trust,14.83,95401805.24,,2001.0,,,https://www.nasdaq.com/symbol/bjz,microcap
EGF,"Blackrock Enhanced Government Fund, Inc",13.0089,76045632.3918,,2005.0,,,https://www.nasdaq.com/symbol/egf,microcap
